BbgTckr,Alias
CFFDMSWL Index,kc.sd.f.long
CFFDMSWS Index,kc.sd.f.short
CFCDMSWL Index,kc.sd.fo.long
CFCDMSWS Index,kc.sd.fo.short
CFFDMSWD Index,kc.sd.f.sprd
CFCDMSWD Index,kc.sd.fo.sprd
CFFDMMML Index,kc.mm.f.long
CFFDMMMS Index,kc.mm.f.short
CFCDMMML Index,kc.mm.fo.long
CFCDMMMS Index,kc.mm.fo.short
CFFDMMMD Index,kc.mm.f.sprd
CFCDMMMD Index,kc.mm.fo.sprd
CFFDMORL Index,kc.xr.f.long
CFFDMORS Index,kc.xr.f.short
CFCDMORL Index,kc.xr.fo.long
CFCDMORS Index,kc.xr.fo.short
CFFDMORD Index,kc.xr.f.sprd
CFCDMORD Index,kc.xr.fo.sprd
CSC1SNCL Index,sb.nc.f.long
CSC1SNCS Index,sb.nc.f.short
CSCOSNCL Index,sb.nc.fo.long
CSCOSNCS Index,sb.nc.fo.short
CSC1SNCP Index,sb.nc.f.sprd
CSCOSNCP Index,sb.nc.fo.sprd
CSC1SCOL Index,sb.cm.f.long
CSC1SCOS Index,sb.cm.f.short
CSCOSCOL Index,sb.cm.fo.long
CSCOSCOS Index,sb.cm.fo.short
CSC1STLL Index,sb.cmb.f.long
CSC1STLS Index,sb.cmb.f.short
CSCOSTLL Index,sb.cmb.fo.long
CSCOSTLS Index,sb.cmb.fo.short
CSC1SNRL Index,sb.nr.f.long
CSC1SNRS Index,sb.nr.f.short
CSCOSNRL Index,sb.nr.fo.long
CSCOSNRS Index,sb.nr.fo.short
CFFDLPML Index,sb.pm.f.long
CFFDLPMS Index,sb.pm.f.short
CFCDLPML Index,sb.pm.fo.long
CFCDLPMS Index,sb.pm.fo.short
CFFDLSWL Index,sb.sd.f.long
CFFDLSWS Index,sb.sd.f.short
CFCDLSWL Index,sb.sd.fo.long
CFCDLSWS Index,sb.sd.fo.short
CFFDLSWD Index,sb.sd.f.sprd
CFCDLSWD Index,sb.sd.fo.sprd
CFFDLMML Index,sb.mm.f.long
CFFDLMMS Index,sb.mm.f.short
CFCDLMML Index,sb.mm.fo.long
CFCDLMMS Index,sb.mm.fo.short
CFFDLMMD Index,sb.mm.f.sprd
CFCDLMMD Index,sb.mm.fo.sprd
CFFDLORL Index,sb.xr.f.long
CFFDLORS Index,sb.xr.f.short
CFCDLORL Index,sb.xr.fo.long
CFCDLORS Index,sb.xr.fo.short
